RDF040s,CATS2D_08_DD,CATS2D_08_DP,CATS2D_00_PP,B07[C-S],B09[N-Cl],B10[C-F],F08[C-S],Ui,CATS3D_04_DA,CATS3D_03_AP,alvo
96.6239744041578,0,0,0,1,1,1,2,3.90689059560852,1,0,6.431798275933005
48.4919830011094,1,1,1,0,0,1,0,3.70043971814109,0,1,6.468521082957745
59.3622425868285,1,1,1,0,0,1,0,3.70043971814109,0,1,5.388276691992658
48.1944821396207,1,1,1,0,0,0,0,3.70043971814109,0,1,5.6439741428068775
32.2216681170322,1,1,1,0,0,0,0,3.70043971814109,0,1,6.1249387366083
42.7120754135445,1,1,1,0,0,1,0,3.70043971814109,0,1,5.681936665037238
73.0774603459227,1,0,0,0,0,1,0,4.08746284125034,0,0,5.882728704344236
73.635447987202,1,0,0,0,0,1,0,4.08746284125034,0,0,6.7447274948966935
30.3406118079364,1,1,1,0,0,0,0,3.70043971814109,0,1,5.943095148663527
34.620174387445,1,1,1,0,0,1,0,3.70043971814109,0,1,6.036212172654444
44.8971503822371,1,1,1,0,0,0,0,3.70043971814109,0,1,5.300162274132754
62.8698942874414,1,1,1,0,0,0,0,3.70043971814109,0,1,5.896196279044043
42.5267090608438,1,1,1,0,0,1,0,3.70043971814109,0,1,5.152427340857888
57.86137762599,1,1,1,0,0,1,0,3.70043971814109,0,1,5.079876673709276
58.1592914868938,1,0,0,0,0,1,0,4.08746284125034,0,0,5.634512015109101
48.9727166705559,1,0,0,0,0,1,0,4.08746284125034,0,0,4.522878745280337
54.6503415354917,1,0,0,0,0,1,0,4.08746284125034,0,0,4.672028376376989
31.753678201421,1,1,1,0,0,0,0,3.70043971814109,0,1,6.070581074285707
84.7618190680067,1,1,1,0,0,1,0,3.70043971814109,0,1,5.139063379299906
36.7350166781968,1,1,1,0,0,1,0,3.70043971814109,0,1,6.337242168318426
65.1760403268709,1,1,1,0,1,0,0,3.70043971814109,0,1,6.1938200260161125
61.0052229155844,1,1,1,0,0,0,0,3.70043971814109,0,1,5.91721462968355
57.4753529785551,1,1,1,0,0,0,0,3.70043971814109,0,1,5.531652669587842
53.3504114734437,1,0,0,0,0,0,0,4.08746284125034,0,0,4.522878745280337
41.6671809395707,1,0,0,0,0,0,0,4.08746284125034,0,0,4.522878745280337
58.5901638629849,1,0,0,0,0,0,0,4.08746284125034,0,0,5.023650020996727
56.3918886897044,1,0,0,0,0,0,0,4.08746284125034,0,0,5.133122185662502
67.5115765708293,1,0,0,0,0,0,0,4.08746284125034,0,0,4.799149501908922
64.2332780828591,1,0,0,0,0,0,0,4.08746284125034,0,0,5.350665141287858
46.2211900274884,1,0,0,0,0,1,0,4.08746284125034,0,0,5.367542707815276
45.7658982133594,1,0,0,0,0,1,0,4.08746284125034,0,0,5.521433504406157
56.3587083915244,1,0,0,0,0,1,0,4.08746284125034,0,0,5.681936665037238
46.848686593521,1,1,1,0,0,1,0,3.70043971814109,0,1,5.36251027048749
30.7867980620133,1,1,1,0,0,0,0,3.70043971814109,0,1,5.333482019445119
41.5782106549652,1,1,1,0,0,1,0,3.70043971814109,0,1,5.281498311132726
41.1343743751453,1,1,1,0,0,1,0,3.70043971814109,0,1,5.958607314841775
51.7203390738394,1,1,1,0,0,1,0,3.70043971814109,0,1,5.042871802323187
53.5446081178913,1,1,1,0,0,1,0,3.70043971814109,0,1,4.9503943874050265
33.7940415008922,1,1,1,0,0,0,0,3.70043971814109,0,1,5.568636235841013
40.6793578107917,1,1,1,0,0,0,0,3.70043971814109,0,1,5.522878745280337
47.8565048248091,1,0,0,0,0,1,0,4.08746284125034,0,0,5.701146923590294
52.8778511853257,1,0,0,0,0,1,0,4.08746284125034,0,0,5.235077015350112
82.5436854658127,1,0,0,0,0,1,0,4.08746284125034,0,0,6.769551078621726
77.146461242986,1,0,0,0,1,1,0,4.08746284125034,0,0,5.723538195826756
73.9005786153484,1,0,0,0,0,1,0,4.08746284125034,0,0,7.221848749616356
64.399920455432,1,0,0,0,0,1,0,4.08746284125034,0,0,5.809668301829708
75.8669127882939,1,0,0,0,0,1,0,4.08746284125034,0,0,6.4089353929735005
64.2928559245725,1,0,0,0,0,1,0,4.08746284125034,0,0,5.703334809738469
40.0861697393932,1,1,1,0,0,1,0,3.70043971814109,0,1,5.671620396561262
48.5336456306034,1,1,1,0,0,0,0,3.70043971814109,0,1,4.997402019280091
51.2092140771311,1,1,1,0,0,1,0,3.70043971814109,0,1,4.861697301833718
54.2605578002225,1,1,1,0,0,1,0,3.70043971814109,0,1,5.85078088734462
37.0587826223227,1,1,1,0,0,0,0,3.70043971814109,0,1,6.086186147616283
37.0636932883926,1,1,1,0,0,1,0,3.70043971814109,0,1,6.366531544420414
47.4853876846672,1,1,1,0,0,0,0,3.70043971814109,0,1,5.4156687756324695
84.9659359998884,1,0,0,0,1,1,0,4.08746284125034,0,0,5.966576244513051
75.1132769014461,1,0,0,0,0,1,0,4.08746284125034,0,0,5.823908740944319
48.3182269614124,1,0,0,0,0,1,0,4.08746284125034,0,0,5.425968732272281
59.5053118482422,1,0,0,0,0,1,0,4.08746284125034,0,0,6.356547323513813
54.1858605613292,1,1,1,0,0,0,0,3.70043971814109,0,1,5.812479279163537
72.4395451952509,1,0,0,0,0,1,0,4.08746284125034,0,0,6.251811972993799
87.8416119790319,1,0,0,0,0,1,0,4.08746284125034,0,0,5.935542010773082
70.7120135599624,1,0,0,0,0,1,0,4.08746284125034,0,0,5.943095148663527
61.2405518292793,1,0,0,0,0,1,0,4.08746284125034,0,0,6.022276394711152
66.9588885567262,1,0,0,0,0,1,0,4.08746284125034,0,0,6.356547323513813
53.1352424209867,1,0,0,0,0,1,0,4.08746284125034,0,0,5.421360790031928
53.255731046878,1,0,0,0,0,1,0,4.08746284125034,0,0,6.920818753952375
66.8223625684559,1,0,0,0,0,1,0,4.08746284125034,0,0,5.85078088734462
71.8544348267694,1,0,0,0,0,1,0,4.08746284125034,0,0,5.7121982700697735
92.8227573046391,1,0,0,0,0,1,0,4.08746284125034,0,0,7.522878745280337
65.6687839367422,1,0,0,0,0,1,0,4.08746284125034,0,0,5.785156151952302
76.2387655157995,1,0,0,0,1,0,0,4.08746284125034,0,0,4.522878745280337
53.0316759127562,1,0,0,0,0,1,0,4.08746284125034,0,0,5.094743951251549
63.994223194182,1,0,0,0,0,1,0,4.08746284125034,0,0,5.13430394008393
42.4955157357257,1,1,1,0,0,0,0,3.70043971814109,0,1,5.563837352959244
61.7266772744734,1,0,0,0,0,1,0,4.08746284125034,0,0,5.935542010773082
65.3320656579806,1,0,0,0,0,1,0,4.08746284125034,0,0,6.346787486224656
96.3222733673633,1,0,0,0,0,1,0,4.08746284125034,0,0,4.633017024022149
68.2673864109974,1,0,0,0,0,1,0,4.08746284125034,0,0,5.739928612014925
73.3093211653961,1,0,0,0,0,1,0,4.08746284125034,0,0,5.790484985457369
97.6422474246978,1,0,0,0,1,1,0,4.08746284125034,0,0,6.180456064458132
96.2294859167109,1,0,0,0,0,1,0,4.08746284125034,0,0,4.522878745280337
84.696196440785,1,0,0,0,0,1,0,4.08746284125034,0,0,5.554395796726403
68.7348661893414,1,0,0,0,0,1,0,4.08746284125034,0,0,5.7447274948966935
79.8792827512276,1,0,0,0,0,1,0,4.08746284125034,0,0,4.897223385116559
52.8066441255373,1,0,0,0,0,0,0,4.08746284125034,0,0,5.150580586203101
90.9841036996251,1,0,0,0,1,1,0,4.08746284125034,0,0,6.045757490560675
86.3309511391627,1,0,0,0,0,1,0,4.08746284125034,0,0,5.939302159646388
58.6491587689341,1,0,0,0,0,1,0,4.08746284125034,0,0,5.563837352959244
74.0613201890771,1,0,0,0,0,1,0,4.08746284125034,0,0,6.958607314841775
56.8754274574691,1,0,0,0,0,1,0,4.08746284125034,0,0,6.3872161432802645
71.0637960824674,1,0,0,0,1,1,0,4.08746284125034,0,0,6.096910013008056
94.2987680298635,1,0,0,0,0,1,0,4.08746284125034,0,0,7.397940008672037
84.8816376912976,1,0,0,0,0,1,0,4.08746284125034,0,0,5.543633966870957
83.4359001847128,1,0,0,0,0,1,0,4.08746284125034,0,0,5.892790030352131
79.0505460551061,1,0,0,0,0,1,0,4.08746284125034,0,0,5.795880017344075
36.8266861877035,1,0,0,0,0,0,0,4.08746284125034,0,0,5.197226274708024
48.058704303807,1,0,0,0,0,1,0,4.08746284125034,0,0,4.522878745280337
47.8624046214353,1,0,0,0,0,1,0,4.08746284125034,0,0,5.769551078621726
45.3415649197254,1,0,0,0,0,1,0,4.08746284125034,0,0,4.522878745280337
59.6540208356049,1,0,0,0,0,1,0,4.08746284125034,0,0,4.522878745280337
83.2603715725661,1,0,0,0,0,1,0,4.08746284125034,0,0,5.935542010773082
78.4262997738873,1,0,0,0,0,1,0,4.08746284125034,0,0,6.251811972993799
77.6270409583704,1,0,0,0,0,1,0,4.08746284125034,0,0,5.756961951313706
93.0347975164646,1,0,0,0,0,1,0,4.08746284125034,0,0,8.0
94.4853146172214,1,0,0,0,0,1,0,4.08746284125034,0,0,6.259637310505756
78.3352711478521,1,0,0,0,0,1,0,4.08746284125034,0,0,6.050609993355088
89.6299445460917,1,0,0,0,0,1,0,4.08746284125034,0,0,5.889410289700751
76.6962226518857,1,0,0,0,0,1,0,4.08746284125034,0,0,6.008773924307505
62.1091510530037,1,0,0,0,0,1,0,4.08746284125034,0,0,6.309803919971486
73.2745525887347,1,0,0,0,0,1,0,4.08746284125034,0,0,5.966576244513051
36.3407228382668,1,0,0,0,0,0,0,4.08746284125034,0,0,4.522878745280337
41.3117426684898,1,0,0,0,0,1,0,4.08746284125034,0,0,5.100179497572904
81.5527852757154,1,0,0,0,0,1,0,4.08746284125034,0,0,7.221848749616356
76.6044561685064,1,0,0,0,0,1,0,4.08746284125034,0,0,6.337242168318426
91.4522663139277,1,0,0,0,1,1,0,4.08746284125034,0,0,5.609064892896621
81.2482582309475,1,0,0,0,0,1,0,4.08746284125034,0,0,5.987162775294828
