F06[C-C],F03[C-N],RNCG,SpMin1_Bh(p),F05[C-N],DP15,RDF040s,CATS2D_00_DP,F10[C-Cl],B05[N-Br],CATS3D_00_DP,alvo
25,10,0.150586894151745,2.06619545627947,7,6.32586984103322,96.6239744041578,0,1,0,0,6.431798275933005
18,9,0.153070870033617,2.0860263639504,7,11.2688363968308,48.4919830011094,1,1,0,1,6.468521082957745
18,9,0.150630953418243,2.08573258080707,7,11.2454507584093,59.3622425868285,1,2,0,1,5.388276691992658
18,9,0.159800840019806,2.0863418790973,7,11.2943048643727,48.1944821396207,1,1,0,1,5.6439741428068775
18,9,0.163573424861437,2.08594024176855,7,10.7162110551746,32.2216681170322,1,0,0,1,6.1249387366083
19,9,0.134243550335054,2.0870028368817,8,12.3768897258756,42.7120754135445,1,0,0,1,5.681936665037238
29,12,0.110475722938088,2.09330762417941,13,19.0139147907933,73.0774603459227,0,2,0,0,5.882728704344236
30,12,0.096258603742711,2.09496805780448,15,17.251358787584,73.635447987202,0,2,0,0,6.7447274948966935
15,11,0.145390832683488,2.08521245223812,10,11.7411911201724,30.3406118079364,1,0,0,1,5.943095148663527
15,11,0.133763223895318,2.08525417543728,10,12.6622241205699,34.620174387445,1,0,0,1,6.036212172654444
15,11,0.146303706524086,2.08506564352015,10,12.1464007320029,44.8971503822371,1,2,0,1,5.300162274132754
15,11,0.143091485721548,2.08490830692647,10,12.1727949648262,62.8698942874414,1,3,0,1,5.896196279044043
18,9,0.134307147447364,2.08691350922283,7,11.830111652135,42.5267090608438,1,0,0,1,5.152427340857888
20,9,0.115396358000517,2.08794321269317,9,12.271580551433,57.86137762599,1,0,0,1,5.079876673709276
28,15,0.0959822119974778,2.09898601626382,12,17.3275405001416,58.1592914868938,0,2,0,0,5.634512015109101
31,13,0.130249133270545,2.09964145368162,9,14.5750918760814,48.9727166705559,0,0,0,0,4.522878745280337
32,13,0.130412421036889,2.09963830267315,9,16.9014278910576,54.6503415354917,0,0,0,0,4.672028376376989
18,9,0.160380919819661,2.08635950387746,7,9.78729049292271,31.753678201421,1,0,0,1,6.070581074285707
18,9,0.146777119096961,2.08646359850713,7,10.3988642054279,84.7618190680067,1,0,0,1,5.139063379299906
18,9,0.14938087488123,2.08645048357548,7,10.7820708944303,36.7350166781968,1,0,0,1,6.337242168318426
18,9,0.158158999834749,2.08559786896648,7,10.7028836143204,65.1760403268709,1,3,0,1,6.1938200260161125
18,9,0.160350682281801,2.08575397895544,7,11.3404890054743,61.0052229155844,1,3,0,1,5.91721462968355
18,9,0.162565111551043,2.08571046051047,7,11.0522237895125,57.4753529785551,1,2,0,1,5.531652669587842
34,13,0.118869953518586,2.100315590279,10,14.468404490773,53.3504114734437,0,0,0,0,4.522878745280337
33,13,0.118955393491684,2.1001994768437,11,15.3292883758378,41.6671809395707,0,0,0,0,4.522878745280337
32,13,0.152393647823095,2.09968011700452,9,15.7625208129681,58.5901638629849,0,0,0,0,5.023650020996727
28,15,0.111841114650388,2.09889675568643,12,14.7020169189211,56.3918886897044,0,2,0,0,5.133122185662502
28,15,0.109691432302794,2.09881867871683,12,16.633050739736,67.5115765708293,0,3,0,0,4.799149501908922
28,15,0.111169157848155,2.09885133000887,12,17.2502123821,64.2332780828591,0,4,0,0,5.350665141287858
28,15,0.0963391729421129,2.0990711683359,12,16.9731311289317,46.2211900274884,0,0,0,0,5.367542707815276
29,15,0.0964046439942992,2.09906885319117,13,17.9726294987723,45.7658982133594,0,0,0,0,5.521433504406157
28,15,0.0849395497354287,2.09921921010724,12,17.6986734935142,56.3587083915244,0,0,0,0,5.681936665037238
15,11,0.139306338433438,2.08507729453642,10,12.8440111741185,46.848686593521,1,2,0,1,5.36251027048749
15,11,0.148003136128507,2.08504544582534,10,13.049553206635,30.7867980620133,1,0,1,1,5.333482019445119
15,11,0.123533899455079,2.08546367246724,10,13.0306962882697,41.5782106549652,1,0,0,1,5.281498311132726
16,11,0.123628172649771,2.08545128357926,11,14.1772388700515,41.1343743751453,1,0,0,1,5.958607314841775
15,11,0.107355865937632,2.08584475145002,10,13.6488291178219,51.7203390738394,1,0,0,1,5.042871802323187
15,11,0.123020180351105,2.08526639805938,10,13.4220369530997,53.5446081178913,1,2,0,1,4.9503943874050265
16,11,0.144024388622942,2.0854202267248,11,12.7858861010585,33.7940415008922,1,0,0,1,5.568636235841013
15,11,0.184532238023741,2.08524944045023,10,13.5118053392952,40.6793578107917,1,0,0,1,5.522878745280337
24,14,0.0977605520379153,2.09228447187331,15,16.8771841523302,47.8565048248091,0,0,0,0,5.701146923590294
24,14,0.0929478100131784,2.09242824118356,15,17.4412400862235,52.8778511853257,0,0,0,0,5.235077015350112
24,14,0.0967985314564983,2.09103003531457,15,17.2216105417725,82.5436854658127,0,3,0,0,6.769551078621726
24,14,0.0977475994138074,2.0913009199319,15,17.8714185241595,77.146461242986,0,4,0,0,5.723538195826756
24,14,0.0986923525887486,2.09122472469306,15,17.5408234148185,73.9005786153484,0,2,0,0,7.221848749616356
24,14,0.0945863660265337,2.0917472751288,15,17.7994297230381,64.399920455432,0,1,0,0,5.809668301829708
24,14,0.0935073998428528,2.09126142626994,15,17.8399100666166,75.8669127882939,0,2,0,0,6.4089353929735005
24,14,0.0975118141344335,2.09224919650276,15,17.8250847358462,64.2928559245725,0,1,0,0,5.703334809738469
19,9,0.128479174521818,2.08706497115682,8,12.4053023379064,40.0861697393932,1,0,0,1,5.671620396561262
20,9,0.198324582013161,2.08728002724137,7,11.3453748214607,48.5336456306034,1,0,0,1,4.997402019280091
18,9,0.146119214896193,2.08647931227245,7,9.65300360083753,51.2092140771311,1,0,0,1,4.861697301833718
19,9,0.133642365596854,2.08651415006922,8,12.4209327890356,54.2605578002225,1,2,0,1,5.85078088734462
20,9,0.157063715313508,2.08769753705472,9,10.8858659362399,37.0587826223227,1,0,0,1,6.086186147616283
19,9,0.146324749508522,2.08647003622582,7,11.7778503871634,37.0636932883926,1,0,0,1,6.366531544420414
19,9,0.17025182472354,2.08656870304183,7,12.1147062479653,47.4853876846672,1,0,0,1,5.4156687756324695
28,12,0.0945166876968622,2.09305075387095,13,17.1892867560682,84.9659359998884,0,4,0,0,5.966576244513051
27,12,0.120992514189746,2.09301384624112,12,16.3557389728795,75.1132769014461,0,1,0,0,5.823908740944319
24,14,0.0991199796852808,2.09161171450811,15,17.638999318522,48.3182269614124,0,0,0,0,5.425968732272281
25,14,0.085994871586899,2.09324728909685,16,18.4071310922945,59.5053118482422,0,0,0,0,6.356547323513813
20,9,0.148111299004496,2.08668915621692,7,11.9174746174614,54.1858605613292,1,0,0,1,5.812479279163537
27,12,0.094899665986564,2.093654664768,12,17.4894389995458,72.4395451952509,0,1,0,0,6.251811972993799
29,12,0.0837234375374113,2.09502005934863,14,17.3736372182415,87.8416119790319,0,1,0,0,5.935542010773082
28,12,0.0915180656179078,2.09385106569626,13,17.1486296167924,70.7120135599624,0,1,0,0,5.943095148663527
24,14,0.110427610526827,2.09246748562478,15,17.3264902604398,61.2405518292793,0,0,0,0,6.022276394711152
28,12,0.121133404872878,2.09299346952684,12,17.8142801652987,66.9588885567262,0,1,0,0,6.356547323513813
25,14,0.110544958735799,2.09244823997926,15,18.7879474600241,53.1352424209867,0,0,0,0,5.421360790031928
26,14,0.0963308750250069,2.09422151040059,17,17.4791898575805,53.255731046878,0,0,0,0,6.920818753952375
24,14,0.0910605739631306,2.09229262573043,15,17.4535412292363,66.8223625684559,0,2,0,0,5.85078088734462
24,14,0.0868707688287794,2.09243623032813,15,18.0084775518614,71.8544348267694,0,2,0,0,5.7121982700697735
24,14,0.0918685022905276,2.09123414170093,15,18.0398116051629,92.8227573046391,0,4,0,0,7.522878745280337
29,12,0.107598630252621,2.09470000639501,14,15.806962973598,65.6687839367422,0,1,0,0,5.785156151952302
31,13,0.119672194146179,2.09920015290761,9,14.5410300018719,76.2387655157995,0,3,0,0,4.522878745280337
31,13,0.116330831337114,2.0994241493746,9,15.591591612308,53.0316759127562,0,1,0,0,5.094743951251549
31,13,0.114718111759137,2.09927559450978,9,15.5814123415224,63.994223194182,0,2,0,0,5.13430394008393
21,9,0.156933298971348,2.08794145987161,8,9.84962039444708,42.4955157357257,1,0,0,1,5.563837352959244
27,12,0.1093854263302,2.09283659612082,12,15.7445400243858,61.7266772744734,0,1,0,0,5.935542010773082
27,12,0.103395116743929,2.09297577905092,12,15.7589818953623,65.3320656579806,0,1,0,0,6.346787486224656
27,12,0.108182419471468,2.09162207236245,12,16.398508727633,96.3222733673633,0,4,0,0,4.633017024022149
28,12,0.0976861204636099,2.09315556474637,13,16.7075937187141,68.2673864109974,0,2,0,0,5.739928612014925
28,12,0.0928805240434246,2.09329160306068,13,17.2127470677129,73.3093211653961,0,2,0,0,5.790484985457369
28,12,0.097673187554068,2.0922263947321,13,17.5654678662009,97.6422474246978,0,6,0,0,6.180456064458132
28,12,0.0934393015442376,2.09218740119937,13,17.6356705323899,96.2294859167109,0,4,0,0,4.522878745280337
28,12,0.0974377606960562,2.09312502937637,13,17.5734328363526,84.696196440785,0,3,0,0,5.554395796726403
28,12,0.0990434644840064,2.09252115135988,13,17.4670127947043,68.7348661893414,0,2,0,0,5.7447274948966935
29,12,0.0859372726038141,2.09405637219457,14,17.966274798009,79.8792827512276,0,2,0,0,4.897223385116559
31,13,0.120744160442093,2.09956922025163,9,15.6051262570532,52.8066441255373,0,1,0,0,5.150580586203101
27,12,0.10936921037421,2.09188505279968,12,16.7143296725823,90.9841036996251,0,5,0,0,6.045757490560675
27,12,0.110553330231632,2.0918104571356,12,15.8843768240674,86.3309511391627,0,3,0,0,5.939302159646388
24,14,0.0860249536033771,2.093128232789,15,18.5237094866832,58.6491587689341,0,0,0,0,5.563837352959244
26,14,0.0767390456172651,2.0945533137629,17,18.4660005530715,74.0613201890771,0,0,0,0,6.958607314841775
25,14,0.0832369621693857,2.09333860058524,16,18.5230814268198,56.8754274574691,0,0,0,0,6.3872161432802645
25,14,0.0857101370105555,2.09250978605232,16,18.5488125617282,71.0637960824674,0,3,0,0,6.096910013008056
28,12,0.098616495920139,2.09215283495727,13,17.3136516755411,94.2987680298635,0,4,0,0,7.397940008672037
28,12,0.0945166876968622,2.0926470541677,13,17.5407937232435,84.8816376912976,0,3,0,0,5.543633966870957
24,14,0.0883004198000314,2.09175610488989,15,18.355783777735,83.4359001847128,0,3,0,0,5.892790030352131
28,12,0.0859673143291468,2.09395705442434,13,18.3730692280627,79.0505460551061,0,2,0,0,5.795880017344075
31,13,0.123195894785218,2.09938233441598,9,15.0946137694291,36.8266861877035,0,0,0,0,5.197226274708024
32,13,0.103707568408682,2.09988921613502,10,16.5138286290751,48.058704303807,0,0,0,0,4.522878745280337
31,13,0.103750910617322,2.0998383859168,9,15.9390385221752,47.8624046214353,0,0,0,0,5.769551078621726
32,13,0.0997588878773194,2.09991777308681,10,16.7156737216223,45.3415649197254,0,0,0,0,4.522878745280337
32,13,0.103297614591051,2.09965997635001,10,16.7267763734021,59.6540208356049,0,2,0,0,4.522878745280337
24,14,0.0908447243955066,2.0922558099583,15,18.3804798756879,83.2603715725661,0,3,0,0,5.935542010773082
25,14,0.0807674415250543,2.09325706699376,16,18.9532381124584,78.4262997738873,0,2,0,0,6.251811972993799
24,14,0.080793976901747,2.09313356134136,15,19.0732820654708,77.6270409583704,0,2,0,0,5.756961951313706
26,14,0.0725489231451442,2.09456508418728,17,19.0254570112449,93.0347975164646,0,2,0,0,8.0
30,12,0.076693175081904,2.09528030953292,15,18.2090627464501,94.4853146172214,0,2,0,0,6.259637310505756
27,12,0.105426745819386,2.09231636091756,12,16.6865019978612,78.3352711478521,0,2,0,0,6.050609993355088
27,12,0.104088040628961,2.09184591237346,12,16.7288626421072,89.6299445460917,0,3,0,0,5.889410289700751
27,12,0.109074109765944,2.09280371723642,12,16.2058481172107,76.6962226518857,0,2,0,0,6.008773924307505
27,12,0.111090198931021,2.09218640060216,12,16.5166939928805,62.1091510530037,0,1,0,0,6.309803919971486
28,12,0.0948630583449304,2.09376289501069,13,17.0434546866758,73.2745525887347,0,1,0,0,5.966576244513051
31,13,0.121122175946141,2.09958922659715,9,14.6072220364282,36.3407228382668,0,0,0,0,4.522878745280337
31,13,0.113889203535103,2.09963352848223,9,15.3067145001868,41.3117426684898,0,0,0,0,5.100179497572904
25,14,0.0783298831318575,2.09334837401139,16,18.5862784835297,81.5527852757154,0,2,0,0,7.221848749616356
29,12,0.0831829972560538,2.09414241529169,14,18.7563079731186,76.6044561685064,0,2,0,0,6.337242168318426
29,12,0.0856529186970186,2.09336158898645,14,18.3304041114358,91.4522663139277,0,5,0,0,5.609064892896621
28,12,0.110358521598692,2.09332913109663,13,17.2055244652022,81.2482582309475,0,2,0,0,5.987162775294828
