SpMin1_Bh(p),F06[C-C],F05[C-N],SpMin4_Bh(s),alvo
2.06619545627947,25,7,0.931065293103387,6.431798275933005
2.0860263639504,18,7,0.500273612352428,6.468521082957745
2.08573258080707,18,7,0.499861550665951,5.388276691992658
2.0863418790973,18,7,0.632947805356888,5.6439741428068775
2.08594024176855,18,7,0.50133524594031,6.1249387366083
2.0870028368817,19,8,0.502462310768158,5.681936665037238
2.09330762417941,29,13,0.921870331431714,5.882728704344236
2.09496805780448,30,15,0.925019334497457,6.7447274948966935
2.08521245223812,15,10,0.50276913639601,5.943095148663527
2.08525417543728,15,10,0.502259110718896,6.036212172654444
2.08506564352015,15,10,0.502617021023897,5.300162274132754
2.08490830692647,15,10,0.502617007143713,5.896196279044043
2.08691350922283,18,7,0.503367048894455,5.152427340857888
2.08794321269317,20,9,0.50298341311034,5.079876673709276
2.09898601626382,28,12,1.01883045878569,5.634512015109101
2.09964145368162,31,9,1.01500904264452,4.522878745280337
2.09963830267315,32,9,1.01501072005369,4.672028376376989
2.08635950387746,18,7,0.501722870497825,6.070581074285707
2.08646359850713,18,7,0.500604407980756,5.139063379299906
2.08645048357548,18,7,0.500406281083722,6.337242168318426
2.08559786896648,18,7,0.501323819748282,6.1938200260161125
2.08575397895544,18,7,0.500602083881207,5.91721462968355
2.08571046051047,18,7,0.500852112643221,5.531652669587842
2.100315590279,34,10,1.01827009496403,4.522878745280337
2.1001994768437,33,11,1.01853795742223,4.522878745280337
2.09968011700452,32,9,1.01523260489464,5.023650020996727
2.09889675568643,28,12,1.01833075488575,5.133122185662502
2.09881867871683,28,12,1.0182329166249,4.799149501908922
2.09885133000887,28,12,1.01822575877239,5.350665141287858
2.0990711683359,28,12,1.0188568600694,5.367542707815276
2.09906885319117,29,13,1.01887221364214,5.521433504406157
2.09921921010724,28,12,1.0190067440647,5.681936665037238
2.08507729453642,15,10,0.502134226776001,5.36251027048749
2.08504544582534,15,10,0.50258455391224,5.333482019445119
2.08546367246724,15,10,0.503093759356635,5.281498311132726
2.08545128357926,16,11,0.50343007551463,5.958607314841775
2.08584475145002,15,10,0.503319171308476,5.042871802323187
2.08526639805938,15,10,0.50272119636466,4.9503943874050265
2.0854202267248,16,11,0.622454734960986,5.568636235841013
2.08524944045023,15,10,0.5763816991492829,5.522878745280337
2.09228447187331,24,15,0.922823814340292,5.701146923590294
2.09242824118356,24,15,0.921235408941594,5.235077015350112
2.09103003531457,24,15,0.922432505730654,6.769551078621726
2.0913009199319,24,15,0.922319354417291,5.723538195826756
2.09122472469306,24,15,0.922351579779621,7.221848749616356
2.0917472751288,24,15,0.921771671877701,5.809668301829708
2.09126142626994,24,15,0.921460162934756,6.4089353929735005
2.09224919650276,24,15,0.925342893954904,5.703334809738469
2.08706497115682,19,8,0.501256147457605,5.671620396561262
2.08728002724137,20,7,0.605120197337969,4.997402019280091
2.08647931227245,18,7,0.501397410136121,4.861697301833718
2.08651415006922,19,8,0.501632259485693,5.85078088734462
2.08769753705472,20,9,0.718665916907533,6.086186147616283
2.08647003622582,19,7,0.501113820129819,6.366531544420414
2.08656870304183,19,7,0.578795335671293,5.4156687756324695
2.09305075387095,28,13,0.922072194521243,5.966576244513051
2.09301384624112,27,12,0.921118491503839,5.823908740944319
2.09161171450811,24,15,0.922974432799298,5.425968732272281
2.09324728909685,25,16,0.923840769565159,6.356547323513813
2.08668915621692,20,7,0.584346366231319,5.812479279163537
2.093654664768,27,12,0.922405826990903,6.251811972993799
2.09502005934863,29,14,0.922888297952231,5.935542010773082
2.09385106569626,28,13,0.921716955109987,5.943095148663527
2.09246748562478,24,15,0.922679221092893,6.022276394711152
2.09299346952684,28,12,0.921088399376263,6.356547323513813
2.09244823997926,25,15,0.922647999959283,5.421360790031928
2.09422151040059,26,17,0.925815021524374,6.920818753952375
2.09229262573043,24,15,0.923032914053667,5.85078088734462
2.09243623032813,24,15,0.92143683217185,5.7121982700697735
2.09123414170093,24,15,0.922558146688082,7.522878745280337
2.09470000639501,29,14,0.924209058483488,5.785156151952302
2.09920015290761,31,9,1.01454712411897,4.522878745280337
2.0994241493746,31,9,1.01313560727753,5.094743951251549
2.09927559450978,31,9,1.01255065072381,5.13430394008393
2.08794145987161,21,8,0.74673288607197,5.563837352959244
2.09283659612082,27,12,0.921261927808,5.935542010773082
2.09297577905092,27,12,0.919704485715667,6.346787486224656
2.09315556474637,28,13,0.92204487464106,5.739928612014925
2.09329160306068,28,13,0.920467277191325,5.790484985457369
2.0922263947321,28,13,0.921542639605282,6.180456064458132
2.09312502937637,28,13,0.924555859420966,5.554395796726403
2.09252115135988,28,13,0.922194058006857,5.7447274948966935
2.09956922025163,31,9,1.0180234426084,5.150580586203101
2.09188505279968,27,12,0.920764109826483,6.045757490560675
2.0918104571356,27,12,0.9207953454798,5.939302159646388
2.093128232789,24,15,0.92398812632003,5.563837352959244
2.0945533137629,26,17,0.924481289050644,6.958607314841775
2.09333860058524,25,16,0.923290798073472,6.3872161432802645
2.09250978605232,25,16,0.923652167487331,6.096910013008056
2.0926470541677,28,13,0.920999613346676,5.543633966870957
2.09175610488989,24,15,0.921977353846175,5.892790030352131
2.09395705442434,28,13,0.923201923272279,5.795880017344075
2.09938233441598,31,9,1.01564461007325,5.197226274708024
2.09988921613502,32,10,1.01693837991537,4.522878745280337
2.09991777308681,32,10,1.01633447842948,4.522878745280337
2.09965997635001,32,10,1.01681282225111,4.522878745280337
2.0922558099583,24,15,0.925560738836049,5.935542010773082
2.09325706699376,25,16,0.924053370555868,6.251811972993799
2.09313356134136,24,15,0.924201720847501,5.756961951313706
2.09456508418728,26,17,0.92469589126923,8.0
2.09528030953292,30,15,0.923690168799914,6.259637310505756
2.09231636091756,27,12,0.920227882757108,6.050609993355088
2.09184591237346,27,12,0.919920723109514,5.889410289700751
2.09280371723642,27,12,0.923750596827762,6.008773924307505
2.09218640060216,27,12,0.921408311136148,6.309803919971486
2.09376289501069,28,13,0.922258790362865,5.966576244513051
2.09958922659715,31,9,1.01516018183196,4.522878745280337
2.09963352848223,31,9,1.01083281835968,5.100179497572904
2.09334837401139,25,16,0.923502318983274,7.221848749616356
2.09414241529169,29,14,0.922507109511098,6.337242168318426
2.09336158898645,29,14,0.922866157116698,5.609064892896621
2.09332913109663,28,13,0.921900041638532,5.987162775294828
